Reference(s),Value
C1,47nF
C2,470nF
C3,47nF
C4,250pF
C5,470nF
C7,100pF
C8,1uF
C9,470nF
C10,10nF
C11,22nF
C12,100nF
C13,47nF
C14,1uF
C15,47uF/25V
C23,100uF/25V
C_K_1,NC
C_S1,100uF/25V
C_S2,47uF/25V
C_S3,100nF
C_S4,10nF
C_T1,47nF
C_T2,22nF
D1,1N4004
D2,LED
D4,1N4148
D5,1N4148
D_C1,LED
D_C2,LED
D_S1,5.1V/1W3 Zener
D_S2,1N4004
D_S3,ZENER 3.7V
GAIN1,100kB
J1,Conn_01x10_Male
J2,Conn_01x10_Male
J3,Barrel_Jack_Switch
J4,AudioJack2
J5,AudioJack2
K_S1,FRT5
Q1,2N5088
Q2,2N5088
Q3,2N5088
Q4,2N7000
Q5,2N7000
Q_S1,2N3904
R1,1K
R2,470K
R3,10K
R4,100K
R6,100K
R7,470K
R8,10K
R9,22R
R10,100K
R11,100K
R13,4k7
R14,2K2
R15,2K2
R16,6K8
R17,6K8
R18,10K
R19,1M
R20,1M
R21,10K
R22,1K
R23,100K
R24,10K
R25,10K
R_IN1,2M2
R_S1,1K
R_S2,1K
SW1,SW_Push
SW2,SW_DIP_x04
SW3,SW_DIP_x03
TONE1,25kB
U1,LM741
U_S1,L78L06_TO92
U_S2,PIC12F675-IP
VOLUME1,100kB
